title_target,pkg_name,title_all,description,matched
Robot vacuum cleaner - prank,,,,False
SwitchBot,,,,False
ECOVACS HOME,,,,False
CenoBots,com.cenobots.app,CenoBots,The APP of the CenoBots cleaning robot.,True
SharkClean,,,,False
Le Robot,,,,False
Matic Robots,,,,False
iVacuum Cleaner Robot Control,,,,False
Robot Admin,,,,False
YEEDI,,,,False
obode Life,,,,False
Robot Vacuum App,,,,False
Gausium Mobile,,,,False
Tennant Robotics,,,,False
Nilfisk Robotics,,,,False
Bluebot Robotics,com.bluebot.blbt,Bluebot Robotics,It's a mobile-side application that connects robot products.,True
Guide for Mi Robot Vacuum Mop,com.guideformirobotvacuummop.companyconsole1.guide.mi.robot.vacuum.mop,Guide for Mi Robot Vacuum Mop,"Guide for Mi Robot Vacuum Mop , know more about Mi Robot Vacuum Mop with guide",True
iHome Clean,com.ihome.robot,iHome Clean,The iHome Clean App gives you full control over your iHome AUTOVAC.,True
LEGEE-688,,,,False
Neabot,,,,False
coredy robot Guide,,,,False
Co-botic,com.ivac.cobotic,Co-botic,"Co-botic App is your home's intelligent hardware management platform. With the Co-botic App, you can complete the convenient and fast interaction between the mobile phone and the intelligent hardware, and realized the interconnection between the smart devices.
You and the smart life, only a distance from the Co-botic App.
Linked control, easy to use
Quickly grasp the addition and operation of devices to achieve interoperability between smart devices.
Personalized customization, as you like
Set up a personalized smart scene according to your own usage habits
Device sharing, fun to pass
Sharing equipment for family and friends, sharing the fun of technology.
Enjoy Co-botic App, Love Co-botic App",True
Xrobot App,,,,False
AtBot,,,,False
KOKOBOTS,,,,False
DoniHome,,,,False
Robot iVacuum: Home Cleaning,,,,False
Teendow,,,,False
OKP,,,,False
GSMART ROBOT,,,,False
Connect Robot Vacuum Cleaner,,,,False
ILIFEHOME,,,,False
POWERbot-E,,,,False
HG Robots,com.haiereurope.hg4,HG Robots,Hoover HG Robots Official App,True
EXTRAVIS,,,,False
Tuvacs,,,,False
SAMBA ROBOT,,,,False
Hrobot cleaner,,,,False
ROPVACNIC,,,,False
Neatsvor Home,,,,False
Kärcher Home Robots,,,,False
NoesisHome,,,,False
iBoto Smart,com.iboto.smart,iBoto Smart,iBoto,True
UWANT HOME,,,,False
INXNI HOME,,,,False
Conga 8090,,,,False
Mellerware,,,,False
Honor Choice,,,,False
Intelligent Robot Vacuums,,,,False
Romy Robot,,,,False
RVC 8000,com.RVC8000.Robot,RVC 8000,"App fr Ihren RVC 8000,steuern Sie ihren neuen Saugroboter bequem vom Smartphone",True
Peppermint Services,com.peppermintrobotics.serviceapp,Peppermint Services,Revolutionize Your Operations with the Peppermint Services App!,True
SENCOR,,,,False
惠而浦机器人,,,,False
Wimsha Robot,,,,False
BlitzWolf Clean,,,,False
Longto,,,,False
Silverstar Smart,,,,False
ePro Select,,,,False
UDEERAI,,,,False
SmartBot Solar,,,,False
H-MOTION,,,,False
FinluxBot,,,,False
Conga 5090,,,,False
AIRROBO,,,,False
DoniRobot,,,,False
睿联小匠,,,,False
bibrobotics,,,,False
HOBOT LEGEE,,,,False
360Robot,,,,False
FieldBots,,,,False
Klauben Cleanbot,,,,False
LionsClean V2,,,,False
Dirt Devil Clean,,,,False
Narwal Freo,,,,False
Homeland,com.taurus.homeland,Homeland,Program and control your robot vacuum cleaner,True
TECHNIMAX,com.technisat.android,TECHNIMAX,Control your TECHNIMAX vacuum robot,True
iGLASSBOT,com.timyerc.iglassbot,iGLASSBOT,Here is a App which can control window clean machine.,True
Robx,com.ls.robx,Robx,Robot Clean App,True
BlauBot,com.blaubot.bot,BlauBot,It's a mobile-side application that connects robot products.,True
AIBOT,,,,False
SAMBA ROBOT,,,,False
Airbot X40,com.piceacorp.dm4pro.airbot_new,Airbot X40,"Airbot, smart living, joyful life",True
Hitachi Robot RV-X,com.hitachi.bot,Hitachi Robot RV-X,It's a mobile-side application that connects robot products.,True
Robolta,,,,False
eufy Clean,,,,False
智能家居机器人,,,,False
格兰仕扫地机器人,,,,False
TIDY LIVING,,,,False
REDMOND Robot,,,,False
RobZone Robot,com.robzoneapp.android,RobZone Robot,"Robzone, vysaje i vyt?e za vs",True
RobZone,,,,False
Müben Home APP,,,,False
Beko Robot,,,,False
아이클레보 G7 Plus,,,,False
iCLEBO G,,,,False
Lauben Robot Vacuum,,,,False
SENSOR PLUS,com.sensorplus.plus,SENSOR PLUS,The APP is a mobile applicationthat connects to SENSOR PLUS robot products.,True
SS Robot,,,,False
Jinny20,,,,False
SENCOR Robotics,,,,False
Makita Robotic Cleaner DRC300,,,,False
Proscenic Robotic,,,,False
Boolean cloud,,,,False
ROB-Connect,,,,False
TABbot,com.tab.tabbot,TABbot,"Technology and advanced robots, clean without dead corners.",True
My Winny,com.wyindustry.poolcleanerbluetoothcontrol,My Winny,A Bluetooth controller for pool cleaning robot,True
TOPPERS,,,,False
国美小洁,,,,False
3i,,,,False
TATA Future,,,,False
邦果智能,,,,False
Robotic Vacuums,,,,False
TATA Home,,,,False
Zigma,com.eurocat.zigma,Zigma,Smart apps for floor sweepers that customize your needs!,True
TROUVER,,,,False
HKoenig_Robot,,,,False
에브리봇 홈,,,,False
에브리봇 Q9,,,,False
BOBOT LIFE,com.zbeetles.bobot,BOBOT LIFE,Redefine Household Cleaning,True
AICLE-에이클,,,,False
cvROBO,com.flexitrobo,cvROBO,Flexit app for control and monitoring of robot vacuum cleaner Flexit cvROBO,True
POWERbot-S,com.mzbots.android.powerbot,POWERbot-S,Connect your robot vacuum from anywhere using the POWERbot-S App.,True
HG5,com.haiereurope.hg5,HG5,Hoover HG5 Robot Official App,True
RoboKit,com.kitfort.robot,RoboKit,Allows you to control Kitfort robots from mobile devices over Wi-Fi,True
SENCOR CLEAN,,,,False
Sweeper & Power,,,,False
아이닉 스마트 로봇,,,,False
SUBLUE ROBOT,com.sublue.robot,SUBLUE ROBOT,"Wise Life, Enjoy Life",True
WYBOT,,,,False
Aiper,,,,False
ROBO POOL,,,,False
Hy-Clor Robot Cleaners,,,,False
Beatbot,,,,False
NemH2O,it.centrosistemi.nemh2o,NemH2O,"NEMH2O is an innovative robot, developed by the creators of Ambrogio Robot, in order to have a completely automatic pool cleaner.
NEMH2O is autonomous 365 days a year: with NEMH20 you dont need to clean the pool or resort to a winter cover.
NEMH2O requires no power cords and can also be used without a filter (using the existing filters in each pool), he gets recharged through induction directly by itself in the water and programmed via bluetooth (software upgradeable via APP).",True
Mypoolbot,cn.bwt.poolrobot,Mypoolbot,Easily manage your pool cleaning robots with the Mypoolbot app.,True
TWOTOO ,com.irobotix.twotoo,TWOTOO,You can easily use TWOTOO to control the sweeping robot.,True
MyDolphin Plus,,,,False
MyDolphin,,,,False
POZIE Robot Cleaners,,,,False
DolphinTech Plus,,,,False
WYRobot,,,,False
Pool Robot,,,,False
iGarden Robotics,,,,False
Inopool Latitude,,,,False
SMOROBOT,,,,False
AQUACLEAN,,,,False
SMOROBOT app,,,,False
Zetta RC,,,,False
Prowler 930 – Kreepy Krauly,,,,False
Prowler RC,,,,False
LadyBot,,,,False
Aquabot RC,,,,False
BWT RC,,,,False
Fanttik,,,,False
大头阿亮客户端 ,,,,False
小丽App,,,,False
GAEMI (일개미),,,,False
Aeolus Instant,,,,False
PadBot Admin,,,,False
"Pocket DONI
掌上杜尼APP",,,,False
MassageRobot,,,,False
Moorebot Scout,,,,False
Home-I MV,,,,False
YOGO楼大大,,,,False
Keenon Robotics,,,,False
攀朗机器人,,,,False
temi app,,,,False
로보이츠 (ROBOEATS),,,,False
CLOi Station,,,,False
Robint,,,,False
CLOi Station for Logistics,,,,False
Sunseeker Robot,com.sunseeker.robot,Sunseeker Robot,"Smart lawn mower, Bluetooth remote control, Map editing, Scheduled tasks",True
Mammotion,com.agilexrobotics,Mammotion,Setting up Luba has never been so easy!,True
Automower Connect,com.husqvarna.automowerconnect,Automower Connect,Automower? Connect allows you control of your Husqvarna robotic lawnmower,True
TerraMow,com.roboterra.app,TerraMow,Take full control of your TerraMow robots with the dedicated app.,True
My Robot Wiper,it.centrosistemi.niko,My Robot Wiper,"My Robot Wiper, its easy and fun!
My Robot Wiper is specifically created for Wiper Robot customers, to let them have a useful and fun experience with their lawn mower.
EASY SETTING C easily set up all the settings directly from your smartphone. (Now available only for the model Yard L400)
HAVE FUN C drive Wiper Robot manually through your garden and play with your family and friends!
BE UPDATED C stay tuned with the latest updates and upgrade your Wiper Robot directly through your app.
** IMPORTANT **
The Update function is not available for all mower.",True
NEXMOW,com.ursrobot.nexmowapp,NEXMOW,NEXMOW is ready to be your partner!,True
Ambrogio Remote,it.centrosistemi.ambrogioremote,Ambrogio Remote,"AMBROGIO REMOTE is specifically created for Ambrogio customers, to let them have a more userfriendly and interactive experience with their robotic lawn mower.
EASY SETTING  C Easily set up all the settings directly from your smartphone.
BE UPDATE  CStay tuned with the latest updates and upgrade your Ambrogio  directly through your App. Download manuals.
HAVE FUN C Drive Tech Robot manually through your garden and play with your family and friends.
REMOTE CONTROL C For latest mower. Connect and interact with the robot every time and everywhere.  Verify location isolate and/or work on specific areas of the garden, monitor the status of the robot and receive alerts when it comes out of the garden.",True
Navimow,com.segway.mower,Navimow,"Segway Navimow is an advanced robotic mower that uses a virtual boundary, eliminating the need for complicated perimeter wiring. Easy to operate and manage, Navimow gives you more free time to do the things you love and an effortlessly impeccable lawn with every use.
With the help of Navimow app, you can:
1. Easily install and activate the device by following the detailed tutorials.
2. Create a virtual working zone for your mower. Understand your lawn area and create a corresponding map. Just remote control the mower to set up the boundary, off-limit area, and channel. Even multiple lawn areas can be managed at your fingertip.
3. Set the mowing schedule. You can either choose to use the recommended schedule auto-generated based on your preferences or select the mowing time by yourself.
4. Monitor the mower at any time. You can check the mower status, mowing progress, remote control the mower to start or stop working whenever you want.
5. Personalize features and settings. Features like the cutting height, work mode can be adjusted with just a few clicks.
Should you have any questions or suggestions, feel free to send an Email to: support-navimow@rlm.segway.com
To know more about Navimow models and technical details, please visit our website: https://navimow.segway.com",True
robobuddy,,,,False
Stiga Autoclip robots,,,,False
U Mower,com.ubtrobot.lawnmower,U Mower,"U Mower, Enjoy Smart Mowing",True
Kress Mission,com.kressrobotik.mission,Kress Mission,Your lawn at your fingertips,True
ECHO Robotics,com.echorobotics.mobileapp,ECHO Robotics,Mobile Application to control your robot,True
BWT Robotics,com.bwt.robotics,BWT Robotics,Control your BWT cleaning robots effortlessly with the BWT Robotics app.,True
Belrobotics,com.belrobotics.mobileapp,Belrobotics,Mobile Application to control your robot,True
Intelligent Mower,com.ldrobot.aws.cropper.common,Intelligent Mower,Intelligent maintenance,True
novabot,,,,False
R HOME,,,,False
robocore,,,,False
EGROBOT,com.box.android.smarthome.gcj.egrobot,EGROBOT,"Robot lawn mower:Let robot lawn mower work,enjoy your life.",True
Kärcher Outdoor Robots,,,,False
Scythe Robotics,com.scytherobotics.takeout,Scythe Robotics,"Stay ahead of your mow with Scythe Robotics- mow, map, and monitor on the go!",True
Carbon Robotics Companion,com.carbonrobotics.companion,Carbon Robotics Companion,Mobile app for LaserWeeder,True
Belrobotics Connect,com.belrobotics.connect,Belrobotics Connect,Control your BM-850 instantaneously from anywhere.,True
Fulcrum Robotics,,,,False
Yarbo,,,,False
ISWARD-Robotic Lawn Mower,,,,False
robotic-mower connect,,,,False
TarraBot Pro,,,,False
Sensori Robot Controller,,,,False
Wiper Service,,,,False
Robotic Mower,,,,False
ayi robot,,,,False
Sunseeker Robot,com.sunseeker.robot,Sunseeker Robot,"Smart lawn mower, Bluetooth remote control, Map editing, Scheduled tasks",True
ANTHBOT Genie,com.anthbot.genie,ANTHBOT Genie,Plug-and-Play Smart Robot Lawn Mower.,True
Mowox,com.dayepower.MOWOXROBOT,Mowox,Application for smart grass cutting machines,True
Eurogreen,,,,False
Eurogreen connect,,,,False
TurfPro Connect,,,,False
ROBOT 2 MOW,,,,False
FJD Landscaping,,,,False
RMconnect,,,,False
STIGA.GO,,,,False
G-Force Robot,,,,False
Goatbot-GOAT BOT Lawn Mower,cn.goatbot.app,Goatbot-GOAT BOT Lawn Mower,Elevate your lawn game with Goatbot.,True
CubCadet XR 2.0,,,,False
Wolf Garten Loopo 2.0,,,,False
Robot Mower,,,,False
NEXMOW 2.0,,,,False
AutoMowing,,,,False
Mowap,com.bugull.summeidamowerwifi,Mowap,The Mowap APP allows you to control your  robotic lawnmower.,True
G2 MOW,,,,False
Volta AI,,,,False
Landroid,,,,False
Rugged Robot,com.tts.ruggedrobot,Rugged Robot,"Control the Rugged Robot, the latest addition to the TTS floor robot family.",True
Robomow 3.0,com.robomow3.robomow,Robomow 3.0,Full control of your RK and RT robotic mower at the tip of your fingers.,True
Powerplus Mower POWDPG6010,com.varo.powerplus2.android,Powerplus Mower POWDPG6010,Easily control your robot mower from a distance with the official Powerplus app.,True
McCulloch ROB,,,,False
KY FPV,,,,False
UDIRC drone,com.udirc.drone,UDIRC drone,"This flight control APP is developed by Udirc Toys Industrial Co.,Ltd.",True
Rainbow for DJI Drones,com.rainbow.drone,Rainbow for DJI Drones,An app to unlock power of your DJI Drones(Mavic Mini2/air2s etc.) with Rainbow,True
X-Hubsan 2,com.hubsan.drone,X-Hubsan 2,Flight Control SoftwareFPVMapAircraft,True
UgCS for DJI,com.ugcs.android.vsm.dji,UgCS for DJI,App to establish a connection between DJI drone and UgCS desktop ground station,True
RC FUN,com.vison.macrochip.gps.uav,RC FUN,An app we can control a quadcopter to fly with a WiFi camera module,True
Ruko Pro,com.vison.macrochip.ruko.drone.f11,Ruko Pro,An app we can control a quadcopter to fly with a WiFi camera module,True
RUKO DRONE,com.vison.macrochip.ruko.drone,RUKO DRONE,An app we can control a quadcopter to fly with a WiFi camera module,True
DroneMagic,com.dji.GSDemo.InspectionSpecialist,DroneMagic,Works with DJI Drones to easily create and automate photo or video flight plans,True
Rippton Drone,com.rippton.zywl.drone,Rippton Drone,Bait Dropping Drone,True
FJD Trion Scan,com.lidar.fjd,FJD Trion Scan,Used to connect and use FJDynamics 3D LIDAR Scanner products,True
Autel Sky,,,,False
Autel Explorer,,,,False
Autel Explorer V2,,,,False
DJI GO 4,,,,False
DJI GO,,,,False
skydio,,,,False
Go Fly Drone Remote Controller,djifly.drone.gofly,Go Fly Drone Remote Controller,"Drone remote controller: Drone camera UAV fly app, Fly Go 4 Mavic Mini Air drone",True
Go Fly Drone Remote Controller,com.apponfire.android.droneapp,Go Fly Drone Remote Controller,Smart Drone Controller for 40+ Drone Models. Support app for Flying Drone Camera,True
Go Fly Drone Remote Controller,com.digitalcarkey.go.fly.drone.remote.controller.dji.phantom.mavic.air.mini.fpv,Go Fly Drone Remote Controller,"Smart remote for drone compatible 50+ models: Mavic, DJI, Mini, Phantom, FPV",True
Ameta Morpho,com.ameta.smart.drone,Ameta Morpho,Ameta Morpho makes it easy for you capture aerial photos quickly.,True
S5200 Drone,com.htself.S5200.drone,S5200 Drone,Take you the pleasure of aerial photography from different perspectives,True
Rainbow for DJI Mini3/Mini4,com.rainbow.drone.v5,Rainbow for DJI Mini3/Mini4,"Support DJI Mini4Pro/Mini3Pro,M30,Mavic 3E/3T, M4T and other industrial models.",True
Fly Go 4 App: Drone Controller,gofly.drone.djigo.droneapp,Fly Go 4 App: Drone Controller,"FPV drone simulator, Drone camera UAV performance, Airmap for drones detector",True
Fly Go for Drone models,dji.drone.go.fly.models,Fly Go for Drone models,Smart flight & camera control app for popular drone models,True
FALCONDRONE,com.vison.macrochip.falcon.drone,FALCONDRONE,Application to use the FALCON 4K drone from Multilaser.,True
Dronetag,cz.dronetag.app,Dronetag,Ensuring airspace safety for all pilots,True
DRONERESPONDERS,branded.m96aed29176e84e1e8460cb6ce37417a2.droneresponders,DRONERESPONDERS,The leading non-profit program advancing public safety UAS,True
DroneControl,,,,False
NETBOT LS22,com.irobotix.netbot,NETBOT LS22,NETBOT LS22 APP can control your Robot wherever you are and whenever you need,True
GoDrone,nl.lvnl.godrone,GoDrone,Where can I fly with my drone,True
VDA Drone,com.vdadrone,VDA Drone,An automated drone flight inspection app for your building inspection needs,True
HK88 Drone,com.netopsun.hk88drone,HK88 Drone,Easily control your HK88 drone and experience smart GPS flight.,True
DrisitDroneApp,com.drisit.drone_app,DrisitDroneApp,An app to stream video in real-time and control a drone over the internet,True
mdCockpit 2,com.microdrones.cockpit.easyone,mdCockpit 2,Mission planner and monitoring tool for Microdrones EasyOne/EasyOne NDAA UAVs.,True
Dazz Drones,,,,False
Drone Go2,com.hs.dronego,Drone Go2,Data read and write application operation of Holy Stone UAV RID equipment,True
